Detected 2 OpenCL Platforms.
Detected 1 Devices In Platform.
Detected 1 Devices In Platform.
Selected device NVIDIA GeForce RTX 2070 in platform NVIDIA CUDA.
Maximum GPU memory allocation is 1993.328125 MiB.
Global GPU memory is 7973.312500 MiB.
There are 107645652 perfect powers < 2^80
0x00000000000000000008 + 0x00000000000000000008 = 0x00000000000000000010
0x00000000000000000010 + 0x00000000000000000010 = 0x00000000000000000020
0x0000000000000000001b + 0x000000000000000000d8 = 0x000000000000000000f3
0x00000000000000000020 + 0x00000000000000000020 = 0x00000000000000000040
0x00000000000000000040 + 0x00000000000000000040 = 0x00000000000000000080
0x00000000000000000080 + 0x00000000000000000080 = 0x00000000000000000100
0x00000000000000000100 + 0x00000000000000000100 = 0x00000000000000000200
0x00000000000000000157 + 0x00000000000000000961 = 0x00000000000000000ab8
0x00000000000000000200 + 0x00000000000000000200 = 0x00000000000000000400
0x000000000000000002d9 + 0x000000000000000016c8 = 0x000000000000000019a1
0x00000000000000000400 + 0x00000000000000000400 = 0x00000000000000000800
0x00000000000000000800 + 0x00000000000000000800 = 0x00000000000000001000
0x00000000000000001000 + 0x00000000000000001000 = 0x00000000000000002000
0x00000000000000002000 + 0x00000000000000002000 = 0x00000000000000004000
0x00000000000000004000 + 0x00000000000000004000 = 0x00000000000000008000
0x000000000000000044a8 + 0x0000000000000006f910 = 0x00000000000000073db8
0x00000000000000004ce3 + 0x00000000000000026718 = 0x0000000000000002b3fb
0x000000000000000055c0 + 0x00000000000000090b40 = 0x00000000000000096100
0x00000000000000008000 + 0x00000000000000008000 = 0x00000000000000010000
0x0000000000000000c5c1 + 0x000000000000000b964f = 0x000000000000000c5c10
0x0000000000000000d658 + 0x0000000000000001fd11 = 0x0000000000000002d369
0x00000000000000010000 + 0x00000000000000010000 = 0x00000000000000020000
0x00000000000000014641 + 0x00000000000000146410 = 0x0000000000000015aa51
0x0000000000000001cb91 + 0x000000000000000c90f7 = 0x000000000000000e5c88
0x00000000000000020000 + 0x00000000000000020000 = 0x00000000000000040000
0x0000000000000003d0bf + 0x00000000000000f05f01 = 0x00000000000000f42fc0
0x00000000000000040000 + 0x00000000000000040000 = 0x00000000000000080000
0x000000000000000430c1 + 0x000000000000010c3040 = 0x00000000000001106101
0x00000000000000053bd8 + 0x0000000000000011a9f9 = 0x0000000000000016e5d1
0x0000000000000005aa5d + 0x000000000000000b7fa3 = 0x00000000000000112a00
0x00000000000000080000 + 0x00000000000000080000 = 0x00000000000000100000
0x00000000000000081bf1 + 0x0000000000000040df88 = 0x0000000000000048fb79
0x000000000000000d8000 + 0x000000000000006c0000 = 0x00000000000000798000
0x00000000000000100000 + 0x00000000000000100000 = 0x00000000000000200000
0x0000000000000014de4f + 0x000000000000001c98f1 = 0x00000000000000317740
0x00000000000000157000 + 0x00000000000000961000 = 0x00000000000000ab8000
0x000000000000001d17c0 + 0x0000000000000e178100 = 0x0000000000000e3498c0
0x000000000000001e85f8 + 0x0000000000000ee76a18 = 0x0000000000000f05f010
0x00000000000000200000 + 0x00000000000000200000 = 0x00000000000000400000
0x000000000000002d9000 + 0x000000000000016c8000 = 0x000000000000019a1000
0x00000000000000400000 + 0x00000000000000400000 = 0x00000000000000800000
0x0000000000000040df88 + 0x0000000000000040df88 = 0x0000000000000081bf10
0x00000000000000485a00 + 0x00000000000001069c00 = 0x000000000000014ef600
0x00000000000000673a91 + 0x00000000000002b54a20 = 0x000000000000031c84b1
0x00000000000000800000 + 0x00000000000000800000 = 0x00000000000001000000
0x0000000000000087576f + 0x0000000000000f05f010 = 0x0000000000000f8d477f
0x000000000000008f570b + 0x00000000000761bc8a05 = 0x000000000007624be110
0x0000000000000097a5c7 + 0x0000000000007f5c3a21 = 0x0000000000007ff3dfe8
0x000000000000009beb49 + 0x000000000000838e8598 = 0x000000000000842a70e1
0x000000000000009beb49 + 0x000000000029d0d1cbe8 = 0x000000000029d16db731
