Detected 2 OpenCL Platforms.
Detected 1 Devices In Platform.
Detected 1 Devices In Platform.
Selected device NVIDIA GeForce RTX 2070 in platform NVIDIA CUDA.
Maximum GPU memory allocation is 1993.328125 MiB.
Global GPU memory is 7973.312500 MiB.
There are 69132954 perfect powers < 2^104
0x0000000000000003284bed08b1 + 0x00000000000002378dce564ce0 = 0x000000000000023ab61a435591
0x00000000000000040000000000 + 0x00000000000000040000000000 = 0x00000000000000080000000000
0x0000000000000004510f2bc100 + 0x000000000000000638d6de1131 = 0x000000000000000a89e609d231
0x0000000000000005b25d499210 + 0x00000000000466878f9493dc00 = 0x000000000004668d41f1dd6e10
0x000000000000000673a9100000 + 0x000000000000002b54a2000000 = 0x0000000000000031c84b100000
0x00000000000000080000000000 + 0x00000000000000080000000000 = 0x00000000000000100000000000
0x000000000000000838eca84d10 + 0x000000000000003738c6c92200 = 0x000000000000003f71b3716f10
0x000000000000000c2c09150060 + 0x0000000000000050425be27a79 = 0x000000000000005c6e64f77ad9
0x00000000000000100000000000 + 0x00000000000000100000000000 = 0x00000000000000200000000000
0x00000000000000124d5ee95d10 + 0x000000000000008d388d547f10 = 0x000000000000009f85ec3ddc20
0x0000000000000014ebb4530610 + 0x00000000000001d528e268ac00 = 0x00000000000001ea1496bbb210
0x000000000000001e2cc3100000 + 0x0000000000011ae3a4b6000000 = 0x0000000000011b01d179100000
0x000000000000001e468b1a8c10 + 0x0000000000011bf39ea3fba210 = 0x0000000000011c11e52f162e20
0x00000000000000200000000000 + 0x00000000000000200000000000 = 0x00000000000000400000000000
0x00000000000000271000000000 + 0x0000000000000c350000000000 = 0x0000000000000c5c1000000000
0x000000000000002a34700a9e10 + 0x000000000035c953c987efe400 = 0x000000000035c97dfdf7fa8210
0x000000000000002b1e21000000 + 0x0000000000000da48871000000 = 0x0000000000000dcfa692000000
0x000000000000002dc600a3a860 + 0x000000000000015b9794dac699 = 0x00000000000001895d957e6ef9
0x000000000000002e38bc7aca10 + 0x0000000000003f7bc07f8f3400 = 0x0000000000003fa9f93c09fe10
0x00000000000000400000000000 + 0x00000000000000400000000000 = 0x00000000000000800000000000
0x0000000000000067ea0dc88000 + 0x0000000000000067ea0dc88000 = 0x00000000000000cfd41b910000
0x00000000000000733b332c37f1 + 0x000000000000007bb6574c251f = 0x00000000000000eef18a785d10
0x000000000000007600ec618141 + 0x00000000000006ea0dd9b692cf = 0x00000000000007600ec6181410
0x00000000000000800000000000 + 0x00000000000000800000000000 = 0x00000000000001000000000000
0x000000000000008c4361b3c100 + 0x0000000000000156708187da31 = 0x00000000000001e2b3e33b9b31
0x00000000000000a08ae81f5d51 + 0x00000000000009682399d677bf = 0x0000000000000a08ae81f5d510
0x00000000000000ffc005ffc001 + 0x00000000000ffb009ff6004fff = 0x00000000000ffc005ffc001000
0x00000000000001000000000000 + 0x00000000000001000000000000 = 0x00000000000002000000000000
0x00000000000001004006004001 + 0x00000000001004006004001000 = 0x0000000000100500a00a005001
0x0000000000000108dcdff5a5d1 + 0x000000000000108dcdff5a5d10 = 0x0000000000001196aadf5002e1
0x00000000000001106101000000 + 0x00000000000004528a14100000 = 0x0000000000000562eb15100000
0x000000000000014a2b6efe0391 + 0x00000000000039a5ca9fc17120 = 0x0000000000003aeff60ebf74b1
0x00000000000001c54fa9ed4c60 + 0x00000000000001dcca774560c1 = 0x00000000000003a21a2132ad21
0x00000000000001d6d7224bb410 + 0x0000000000011228a468348891 = 0x00000000000113ff7b8a803ca1
0x00000000000001e4a5d45ac37f + 0x000000000000f06e445906fc01 = 0x000000000000f252ea2d61bf80
0x00000000000001f09f7794bc10 + 0x000000000001231c7a089f7d21 = 0x000000000001250d1980343931
0x00000000000002000000000000 + 0x00000000000002000000000000 = 0x00000000000004000000000000
0x0000000000000211e44f7d02c1 + 0x000000000000211e44f7d02c10 = 0x000000000000233029474d2ed1
0x000000000000021caa34654381 + 0x0000000000010e551a32a1c080 = 0x0000000000011071c467070401
0x00000000000002e97294e4b2c1 + 0x0000000000005a44e007b1a55f = 0x0000000000005d2e529c965820
0x0000000000000304fed86c8000 + 0x000000000002dab8e896910000 = 0x000000000002ddbde76efd8000
0x00000000000003fb027f6013ff + 0x00000000000fe80efb00efe801 = 0x00000000000fec09fd804ffc00
0x00000000000004000000000000 + 0x00000000000004000000000000 = 0x00000000000008000000000000
0x00000000000004050280a01401 + 0x000000000010140a0280500400 = 0x000000000010180f0500f01801
0x0000000000000546d981000000 + 0x0000000000001ab6ad1d100000 = 0x0000000000001ffd869e100000
0x000000000000056bc75e2d6310 + 0x000000000000056bc75e2d6310 = 0x0000000000000ad78ebc5ac620
0x0000000000000570f6855cb541 + 0x000000000000ae1ed0ab96a820 = 0x000000000000b38fc730f35d61
0x00000000000005da5817452f91 + 0x00000000000006dd557a82b910 = 0x0000000000000cb7ad91c7e8a1
0x00000000000005f5e100000000 + 0x000000000001dcd65000000000 = 0x000000000001e2cc3100000000
0x000000000000069448e9100000 + 0x0000000000a897cc543a000000 = 0x0000000000a89e609d23100000
0x000000000000069656f9f69410 + 0x0000000000a8d30b1c4888ae10 = 0x0000000000a8d9a173427f4220
0x000000000000074322a1c04100 + 0x0000000000024c3df52dd49100 = 0x000000000002538117cf94d200
0x00000000000008000000000000 + 0x00000000000008000000000000 = 0x00000000000010000000000000
0x000000000000084d295376ff21 + 0x000000000000175f1f888af210 = 0x0000000000001fac48dc01f131
0x000000000000085635bc910000 + 0x000000000000eec7fccd100000 = 0x000000000000f71e3289a10000
0x0000000000000a67358b3f9880 + 0x0000000000000a67358b3f9880 = 0x00000000000014ce6b167f3100
0x0000000000000aebb60ef47310 + 0x00000000000143b666be73e410 = 0x0000000000014ea21ccd685720
0x0000000000000fc05fc0100000 + 0x00000000000fb09f604ff00000 = 0x00000000000fc05fc010000000
0x00000000000010000000000000 + 0x00000000000010000000000000 = 0x00000000000020000000000000
0x00000000000010406040100000 + 0x00000000001040604010000000 = 0x00000000001050a0a050100000
